127.0.0.1 - - [24/May/2017:10:05:51 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [24/May/2017:10:05:53 +0530] "GET /ChatZoneFE/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2017:10:05:53 +0530] "GET /ChatZoneFE/Controller/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2017:10:05:53 +0530] "GET /ChatZoneFE/Controller/UserController.js HTTP/1.1" 200 2291
0:0:0:0:0:0:0:1 - - [24/May/2017:10:05:53 +0530] "GET /ChatZoneFE/Controller/UserService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2017:10:05:53 +0530] "GET /ChatZoneFE/Controller/BlogController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2017:10:05:53 +0530] "GET /ChatZoneFE/Controller/BlogService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2017:10:05:53 +0530] "GET /ChatZoneFE/Controller/ForumController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2017:10:05:53 +0530] "GET /ChatZoneFE/Controller/ForumService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2017:10:05:54 +0530] "GET /ChatZoneFE/Header/Header.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2017:10:09:38 +0530] "GET /ChatZoneFE/ HTTP/1.1" 200 1249
0:0:0:0:0:0:0:1 - - [24/May/2017:10:09:38 +0530] "GET /ChatZoneFE/lib/JQuery/jquery.js HTTP/1.1" 200 95785
0:0:0:0:0:0:0:1 - - [24/May/2017:10:09:38 +0530] "GET /ChatZoneFE/lib/BootStrap/bootstrap.js HTTP/1.1" 200 69707
0:0:0:0:0:0:0:1 - - [24/May/2017:10:09:38 +0530] "GET /ChatZoneFE/lib/BootStrap/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [24/May/2017:10:09:38 +0530] "GET /ChatZoneFE/lib/angular.js HTTP/1.1" 200 1187559
0:0:0:0:0:0:0:1 - - [24/May/2017:10:09:38 +0530] "GET /ChatZoneFE/lib/angular-cookies.js HTTP/1.1" 200 9739
0:0:0:0:0:0:0:1 - - [24/May/2017:10:09:38 +0530] "GET /ChatZoneFE/lib/angular-route.js HTTP/1.1" 200 38847
0:0:0:0:0:0:0:1 - - [24/May/2017:10:09:38 +0530] "GET /ChatZoneFE/Controller/HomeController.js HTTP/1.1" 200 168
0:0:0:0:0:0:0:1 - - [24/May/2017:10:09:38 +0530] "GET /ChatZoneFE/Controller/app.js HTTP/1.1" 200 3596
0:0:0:0:0:0:0:1 - - [24/May/2017:10:09:38 +0530] "GET /ChatZoneFE/Controller/UserController.js HTTP/1.1" 200 2291
0:0:0:0:0:0:0:1 - - [24/May/2017:10:09:38 +0530] "GET /ChatZoneFE/Controller/BlogService.js HTTP/1.1" 200 3014
0:0:0:0:0:0:0:1 - - [24/May/2017:10:09:38 +0530] "GET /ChatZoneFE/Controller/UserService.js HTTP/1.1" 200 1766
0:0:0:0:0:0:0:1 - - [24/May/2017:10:09:38 +0530] "GET /ChatZoneFE/Controller/ForumService.js HTTP/1.1" 200 1689
0:0:0:0:0:0:0:1 - - [24/May/2017:10:09:38 +0530] "GET /ChatZoneFE/Controller/ForumController.js HTTP/1.1" 200 1354
0:0:0:0:0:0:0:1 - - [24/May/2017:10:09:38 +0530] "GET /ChatZoneFE/Controller/BlogController.js HTTP/1.1" 200 2656
0:0:0:0:0:0:0:1 - - [24/May/2017:10:09:39 +0530] "GET /ChatZoneFE/Header/Home.html HTTP/1.1" 200 157
0:0:0:0:0:0:0:1 - - [24/May/2017:10:09:40 +0530] "GET /ChatZoneFE/Header/Header.html HTTP/1.1" 200 1165
0:0:0:0:0:0:0:1 - - [24/May/2017:10:09:40 +0530] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [24/May/2017:10:09:44 +0530] "GET /ChatZoneFE/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2017:10:09:47 +0530] "GET /ChatZoneFE/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2017:10:09:49 +0530] "GET /ChatZoneFE/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2017:10:09:51 +0530] "GET /ChatZoneFE/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2017:10:09:53 +0530] "GET /ChatZoneFE/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2017:10:09:55 +0530] "GET /ChatZoneFE/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2017:10:10:02 +0530] "GET /ChatZoneFE/lib/BootStrap/bootstrap.min.css.map HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [24/May/2017:10:10:06 +0530] "GET /ChatZoneFE/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2017:10:10:07 +0530] "GET /ChatZoneFE/lib/BootStrap/bootstrap.min.css.map HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [24/May/2017:10:10:10 +0530] "GET /ChatZoneFE/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2017:10:10:11 +0530] "GET /ChatZoneFE/lib/BootStrap/bootstrap.min.css.map HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [24/May/2017:10:10:15 +0530] "GET /ChatZoneFE/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2017:10:10:16 +0530] "GET /ChatZoneFE/lib/BootStrap/bootstrap.min.css.map HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [24/May/2017:10:10:18 +0530] "GET /ChatZoneFE/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2017:10:10:19 +0530] "GET /ChatZoneFE/lib/BootStrap/bootstrap.min.css.map HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [24/May/2017:10:10:21 +0530] "GET /ChatZoneFE/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2017:10:10:22 +0530] "GET /ChatZoneFE/lib/BootStrap/bootstrap.min.css.map HTTP/1.1" 404 1086
0:0:0:0:0:0:0:1 - - [24/May/2017:10:10:32 +0530] "GET /ChatZoneFE/Blog/DisplayBlogs.html HTTP/1.1" 200 1365
0:0:0:0:0:0:0:1 - - [24/May/2017:10:10:35 +0530] "GET /ChatZoneRestService/bloglist HTTP/1.1" 200 882
0:0:0:0:0:0:0:1 - - [24/May/2017:10:14:51 +0530] "GET /ChatZoneFE/Blog/ViewBlog.html HTTP/1.1" 200 491
0:0:0:0:0:0:0:1 - - [24/May/2017:10:14:53 +0530] "GET /ChatZoneFE/Blog/Blog.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [24/May/2017:10:14:55 +0530] "GET /ChatZoneRestService/bloglist HTTP/1.1" 200 882
0:0:0:0:0:0:0:1 - - [24/May/2017:10:14:55 +0530] "GET /ChatZoneFE/Blog/DisplayBlogs.html HTTP/1.1" 200 1365
0:0:0:0:0:0:0:1 - - [24/May/2017:10:15:02 +0530] "GET /ChatZoneFE/User/Register.html HTTP/1.1" 200 4679
