127.0.0.1 - - [02/Jun/2017:13:01:40 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [02/Jun/2017:13:01:42 +0530] "GET /ChatZoneFE/ HTTP/1.1" 200 2235
0:0:0:0:0:0:0:1 - - [02/Jun/2017:13:01:42 +0530] "GET /ChatZoneFE/lib/angular-messages.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2017:13:01:42 +0530] "GET /ChatZoneFE/lib/angular-resource.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2017:13:01:42 +0530] "GET /ChatZoneFE/lib/lodash.js HTTP/1.1" 200 411453
0:0:0:0:0:0:0:1 - - [02/Jun/2017:13:01:43 +0530] "GET /ChatZoneFE/lib/underscore.js HTTP/1.1" 200 16454
0:0:0:0:0:0:0:1 - - [02/Jun/2017:13:01:43 +0530] "GET /ChatZoneFE/lib/sockjs.js HTTP/1.1" 200 79613
0:0:0:0:0:0:0:1 - - [02/Jun/2017:13:01:43 +0530] "GET /ChatZoneFE/lib/stomp.js HTTP/1.1" 200 16725
0:0:0:0:0:0:0:1 - - [02/Jun/2017:13:01:43 +0530] "GET /ChatZoneFE/lib/upload.js HTTP/1.1" 200 12216
0:0:0:0:0:0:0:1 - - [02/Jun/2017:13:01:43 +0530] "GET /ChatZoneFE/lib/ng-file-upload.js HTTP/1.1" 200 81733
0:0:0:0:0:0:0:1 - - [02/Jun/2017:13:01:43 +0530] "GET /ChatZoneFE/lib/ng-file-upload-all.js HTTP/1.1" 200 96128
0:0:0:0:0:0:0:1 - - [02/Jun/2017:13:01:43 +0530] "GET /ChatZoneFE/Controller/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2017:13:01:43 +0530] "GET /ChatZoneFE/Controller/UserController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2017:13:01:43 +0530] "GET /ChatZoneFE/Controller/BlogController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2017:13:01:43 +0530] "GET /ChatZoneFE/Controller/UserService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2017:13:01:43 +0530] "GET /ChatZoneFE/Controller/BlogService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2017:13:01:43 +0530] "GET /ChatZoneFE/Controller/ForumController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2017:13:01:44 +0530] "GET /ChatZoneFE/Controller/CommentController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2017:13:01:44 +0530] "GET /ChatZoneFE/Controller/ForumService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2017:13:01:44 +0530] "GET /ChatZoneFE/Controller/ChatController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2017:13:01:44 +0530] "GET /ChatZoneFE/Controller/CommentService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2017:13:01:44 +0530] "GET /ChatZoneFE/Controller/ChatService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2017:13:01:45 +0530] "GET /ChatZoneFE/Header/Header.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2017:13:02:17 +0530] "GET /ChatZoneFE/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2017:13:02:17 +0530] "GET /ChatZoneFE/lib/angular-messages.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2017:13:02:17 +0530] "GET /ChatZoneFE/lib/underscore.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2017:13:02:17 +0530] "GET /ChatZoneFE/lib/lodash.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2017:13:02:17 +0530] "GET /ChatZoneFE/lib/angular-resource.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2017:13:02:17 +0530] "GET /ChatZoneFE/lib/sockjs.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2017:13:02:17 +0530] "GET /ChatZoneFE/lib/stomp.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2017:13:02:18 +0530] "GET /ChatZoneFE/lib/ng-file-upload.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2017:13:02:18 +0530] "GET /ChatZoneFE/lib/upload.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2017:13:02:18 +0530] "GET /ChatZoneFE/lib/ng-file-upload-all.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2017:13:02:18 +0530] "GET /ChatZoneFE/Controller/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2017:13:02:18 +0530] "GET /ChatZoneFE/Controller/UserController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2017:13:02:18 +0530] "GET /ChatZoneFE/Controller/BlogController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2017:13:02:18 +0530] "GET /ChatZoneFE/Controller/ForumController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2017:13:02:18 +0530] "GET /ChatZoneFE/Controller/CommentService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2017:13:02:18 +0530] "GET /ChatZoneFE/Controller/BlogService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2017:13:02:18 +0530] "GET /ChatZoneFE/Controller/CommentController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2017:13:02:18 +0530] "GET /ChatZoneFE/Controller/ForumService.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2017:13:02:18 +0530] "GET /ChatZoneFE/Controller/ChatController.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Jun/2017:13:02:18 +0530] "GET /ChatZoneFE/Controller/ChatService.js HTTP/1.1" 304 -
